,team,home_game_count,away_team,away_game_count,home_goals,home_lost_goals,home_goals_per_game,away_lost_goals,away_goals,away_goals_per_game,total_goals,total_games,results,winning_rate
10,Antigua and Barbuda,104.0,Antigua and Barbuda,80.0,162.0,137.0,299.0,175.0,91.0,266.0,253.0,184.0,57.0,0.30978260869565216
124,Iceland,204.0,Iceland,232.0,273.0,282.0,555.0,443.0,250.0,693.0,523.0,436.0,135.0,0.30963302752293576
272,Togo,150.0,Togo,226.0,210.0,141.0,351.0,376.0,196.0,572.0,406.0,376.0,116.0,0.30851063829787234
32,Bonaire,4.0,Bonaire,9.0,5.0,17.0,22.0,27.0,16.0,43.0,21.0,13.0,4.0,0.3076923076923077
204,Panama,188.0,Panama,212.0,268.0,198.0,466.0,392.0,171.0,563.0,439.0,400.0,123.0,0.3075
25,Belarus,109.0,Belarus,132.0,140.0,127.0,267.0,210.0,142.0,352.0,282.0,241.0,74.0,0.3070539419087137
101,Georgia,108.0,Georgia,127.0,154.0,113.0,267.0,223.0,121.0,344.0,275.0,235.0,72.0,0.30638297872340425
243,Singapore,290.0,Singapore,259.0,490.0,482.0,972.0,534.0,234.0,768.0,724.0,549.0,166.0,0.302367941712204
206,Papua New Guinea,55.0,Papua New Guinea,61.0,108.0,82.0,190.0,160.0,172.0,332.0,280.0,116.0,35.0,0.3017241379310345
180,Myanmar,5.0,Myanmar,5.0,4.0,6.0,10.0,12.0,6.0,18.0,10.0,10.0,3.0,0.3
146,Kyrgyzstan,56.0,Kyrgyzstan,84.0,73.0,84.0,157.0,158.0,76.0,234.0,149.0,140.0,42.0,0.3
96,French Guiana,63.0,French Guiana,77.0,112.0,86.0,198.0,148.0,95.0,243.0,207.0,140.0,41.0,0.29285714285714287
162,Maldives,77.0,Maldives,77.0,150.0,128.0,278.0,214.0,64.0,278.0,214.0,154.0,45.0,0.2922077922077922
192,North Vietnam,5.0,North Vietnam,19.0,18.0,9.0,27.0,43.0,31.0,74.0,49.0,24.0,7.0,0.2916666666666667
117,Guyana,113.0,Guyana,93.0,163.0,170.0,333.0,193.0,88.0,281.0,251.0,206.0,60.0,0.2912621359223301
194,Northern Ireland,222.0,Northern Ireland,245.0,283.0,279.0,562.0,378.0,190.0,568.0,473.0,467.0,134.0,0.28693790149892934
191,North Macedonia,117.0,North Macedonia,114.0,151.0,145.0,296.0,169.0,112.0,281.0,263.0,231.0,66.0,0.2857142857142857
252,South Ossetia,7.0,South Ossetia,7.0,7.0,16.0,23.0,14.0,23.0,37.0,30.0,14.0,4.0,0.2857142857142857
19,Bahamas,14.0,Bahamas,14.0,25.0,26.0,51.0,65.0,12.0,77.0,37.0,28.0,8.0,0.2857142857142857
34,Botswana,150.0,Botswana,121.0,146.0,156.0,302.0,188.0,81.0,269.0,227.0,271.0,75.0,0.2767527675276753
210,Philippines,96.0,Philippines,121.0,154.0,157.0,311.0,316.0,89.0,405.0,243.0,217.0,60.0,0.2764976958525346
155,Lithuania,115.0,Lithuania,171.0,131.0,140.0,271.0,311.0,149.0,460.0,280.0,286.0,79.0,0.2762237762237762
1,Afghanistan,36.0,Afghanistan,69.0,48.0,56.0,104.0,153.0,63.0,216.0,111.0,105.0,29.0,0.2761904761904762
268,Tanzania,256.0,Tanzania,259.0,353.0,312.0,665.0,463.0,231.0,694.0,584.0,515.0,142.0,0.2757281553398058
150,Lebanon,133.0,Lebanon,133.0,193.0,170.0,363.0,240.0,115.0,355.0,308.0,266.0,73.0,0.2744360902255639
152,Liberia,133.0,Liberia,105.0,149.0,129.0,278.0,207.0,65.0,272.0,214.0,238.0,65.0,0.27310924369747897
203,Palestine,67.0,Palestine,114.0,136.0,94.0,230.0,179.0,117.0,296.0,253.0,181.0,49.0,0.27071823204419887
